,method,proportion,method_type,split,group,label
29,,0.0,known,use,future_user,"Méthodes de barrière vaginale (y compris le diaphragme, la cape cervicale et les agents spermicides)"
30,,0.0,known,use,future_user,Patch contraceptif
31,,0.10239096780221302,known,use,future_user,Pilules contraceptives d'urgence
32,,0.4198278367664394,known,use,future_user,Pilules contraceptives orales
33,,0.14297895398653387,known,use,future_user,Préservatifs
34,,0.07184703232122042,known,use,future_user,Retrait
35,,0.05416925926634386,known,use,future_user,Stérilisation
36,,0.08878278216271455,known,use,nonuser,Abstinence
37,,0.015113143396540584,known,use,nonuser,Anneau vaginal
38,,0.04003186830669892,known,use,nonuser,Autre : veuillez préciser
39,,0.02248374696626782,known,use,nonuser,Dispositifs intra-utérins DIU (aussi appelés “stérilets”)
40,,0.3715364844558348,known,use,nonuser,Implants
41,,0.4148082327521838,known,use,nonuser,Injectables
42,,0.016995317684865365,known,use,nonuser,Je ne sais pas
43,,0.003252359737850968,known,use,nonuser,Je préfère ne pas répondre
44,,0.03621726442532514,known,use,nonuser,Méthode de l'allaitement (aussi appelée “aménorrhée de lactation”)
45,,0.016167932332897587,known,use,nonuser,Méthode des jours fixes (collier de perles)
46,,0.02130497063407421,known,use,nonuser,Méthode du calendrier (aussi appelée “méthode Ogino”)
47,,0.0005922126140093111,known,use,nonuser,"Méthodes de barrière vaginale (y compris le diaphragme, la cape cervicale et les agents spermicides)"
48,,0.002828975562578447,known,use,nonuser,Patch contraceptif
49,,0.05964672547132445,known,use,nonuser,Pilules contraceptives d'urgence
50,,0.16362848342777908,known,use,nonuser,Pilules contraceptives orales
51,,0.24222068667220406,known,use,nonuser,Préservatifs
52,,0.05699969622674816,known,use,nonuser,Retrait
53,,0.01690192241347357,known,use,nonuser,Stérilisation
54,,0.043198486384158186,known,use,past_user,Abstinence
55,,0.0022039263803374305,known,use,past_user,Anneau vaginal
56,,0.0539819472700798,known,use,past_user,Autre : veuillez préciser
57,,0.17605751340280296,known,use,past_user,Dispositifs intra-utérins DIU (aussi appelés “stérilets”)
