,label,split,group,weighted_agreement,agree_n,agree_pct,agree_weighted_n,disagree_n,disagree_pct,disagree_weighted_n,total_n,total_weighted_n
396,Les contraceptifs peuvent provoquer des gonflements ou des inflammations dans le corps.,age_group,31-45,0.4062195588498075,166.0,0.9431818181818182,302395.80751393526,10.0,0.056818181818181816,20028.53997466857,386.0,695109.975351204
397,Les contraceptifs peuvent provoquer l'apparition de boutons chez les femmes.,age_group,16-20,0.033668018965112796,4.0,1.0,1609.161561681769,0.0,0.0,0.0,22.0,47794.95827625621
398,Les contraceptifs peuvent provoquer l'apparition de boutons chez les femmes.,age_group,21-30,0.371688604467588,92.0,0.8932038834951457,129288.69849461428,11.0,0.10679611650485436,6108.616665745996,289.0,331406.6677005424
399,Les contraceptifs peuvent provoquer l'apparition de boutons chez les femmes.,age_group,31-45,-0.05832966380438231,95.0,0.7916666666666666,129716.41769251513,25.0,0.20833333333333334,170261.9488618233,386.0,695109.975351204
400,Les contraceptifs peuvent provoquer une sécheresse pendant les rapports intimes.,age_group,16-20,-0.1653036963856865,1.0,0.25,7023.251789864283,3.0,0.75,14923.935061529095,22.0,47794.95827625621
401,Les contraceptifs peuvent provoquer une sécheresse pendant les rapports intimes.,age_group,21-30,0.30715641501058816,54.0,0.72,109290.83842683487,21.0,0.28,7497.154465331001,289.0,331406.6677005424
402,Les contraceptifs peuvent provoquer une sécheresse pendant les rapports intimes.,age_group,31-45,-0.10462153692737006,53.0,0.5760869565217391,106972.03278507123,39.0,0.42391304347826086,179695.5067398605,386.0,695109.975351204
403,Les contraceptifs provoquent souvent des saignements excessifs chez les femmes.,age_group,16-20,0.6120694560139757,11.0,0.9166666666666666,29290.05697223101,1.0,0.08333333333333333,36.22285987220578,22.0,47794.95827625621
404,Les contraceptifs provoquent souvent des saignements excessifs chez les femmes.,age_group,21-30,0.89036844943879,235.0,0.9710743801652892,296123.7239507331,7.0,0.028925619834710745,1049.6830965248128,289.0,331406.6677005424
405,Les contraceptifs provoquent souvent des saignements excessifs chez les femmes.,age_group,31-45,0.5332623262786793,301.0,0.9261538461538461,503871.71348097455,24.0,0.07384615384615385,133195.751005676,386.0,695109.975351204
406,Les contraceptifs provoquent souvent des vertiges ou des maux de tête.,age_group,16-20,-0.04963566870135901,8.0,0.8888888888888888,12479.154627189155,1.0,0.1111111111111111,14851.489341784683,22.0,47794.95827625621
407,Les contraceptifs provoquent souvent des vertiges ou des maux de tête.,age_group,21-30,0.655101010419454,172.0,0.9347826086956522,220562.67773572617,12.0,0.06521739130434782,3457.8348653565918,289.0,331406.6677005424
408,Les contraceptifs provoquent souvent des vertiges ou des maux de tête.,age_group,31-45,0.5293644813888474,236.0,0.8939393939393939,462316.1052369595,28.0,0.10606060606060606,94349.5736269548,386.0,695109.975351204
